country,period,speeches,words,ai_words_estimate,mixed_words_estimate,ai_word_share,mixed_word_share,ai_plus_mixed_word_share,ai_speech_weighted_share,mixed_speech_weighted_share
France,2019,3,177,8.26,15.340000000000002,0.04666666666666667,0.08666666666666667,0.13333333333333333,0.04666666666666666,0.08666666666666667
France,2024,3,177,20.65,5.3100000000000005,0.11666666666666665,0.030000000000000002,0.14666666666666667,0.11666666666666665,0.030000000000000002
Germany,2019,3,177,17.700000000000003,12.39,0.10000000000000002,0.07,0.17,0.10000000000000002,0.07
Germany,2024,3,177,13.57,4.13,0.07666666666666667,0.023333333333333334,0.09999999999999999,0.07666666666666667,0.023333333333333334
Italy,2019,3,177,14.16,6.49,0.08,0.03666666666666667,0.11666666666666665,0.08,0.036666666666666674
Italy,2024,3,177,7.67,2.9499999999999997,0.043333333333333335,0.016666666666666666,0.06,0.043333333333333335,0.016666666666666666
Netherlands,2019,3,177,10.030000000000001,5.9,0.05666666666666667,0.03333333333333333,0.09000000000000001,0.056666666666666664,0.03333333333333333
Netherlands,2024,3,177,16.52,7.67,0.09333333333333334,0.043333333333333335,0.13666666666666666,0.09333333333333334,0.043333333333333335
Poland,2019,3,177,5.9,4.72,0.03333333333333333,0.026666666666666665,0.060000000000000005,0.03333333333333333,0.02666666666666667
Poland,2024,3,177,6.49,8.85,0.03666666666666667,0.049999999999999996,0.08666666666666667,0.03666666666666667,0.049999999999999996
Spain,2019,3,177,4.72,3.54,0.026666666666666665,0.02,0.04666666666666667,0.02666666666666667,0.02
Spain,2024,3,177,15.340000000000002,12.39,0.08666666666666667,0.07,0.15666666666666668,0.08666666666666667,0.07
